precinct,votedifference,trump
"Johnstown - Eighth Ward No. 1 Voting Precinct",1,173
58-40,2,153
45-12,3,91
"Coplay 2nd District",4,471
"Lower Macungie 10th District",4,927
"Lower Macungie 5th District",4,675
Rockledge,4,775
63-15,5,258
"Hatfield 2-2",5,228
"Johnstown - Cambria City Voting Precinct",5,86
"Johnstown -17th Ward 2 Voting Precinct",5,247
63-20,6,223
"150 N COVENTRY M",7,631
58-03,7,378
58-43,7,197
"Monongahela 2 - 1 Voting Precinct",7,196
"Washington 5-1 Voting Precinct",7,194
39-33,8,174
21-44,9,329
64-06,9,191
"Green Hills Voting Precinct",9,10
25-07,10,205
57-21,10,186
63-05,10,226
"Salisbury 4th Ward 2nd District",10,324
45-15,11,262
39-07,12,296
58-36,12,133
64-02,12,291
"Salisbury 3rd Ward 2nd District",12,405
58-28,13,211
"Lower Macungie 3rd District",13,891
"South Whitehall 4th District",13,545
"145 N COVENTRY E",14,599
57-12,14,244
66-24,14,216
"Horsham 2-1",14,67
"Salisbury 3rd Ward 1st District",15,367
"Salisbury 5th Ward 2nd District",15,569
63-01,16,268
"Canonsburg 2-1 Voting Precinct",16,300
"Catasauqua 3rd District",16,534
"Coplay 1st District",16,389
"CURTIN NORTH",16,29
"Lower Moreland 2",16,614
58-34,17,257
"East Bethlehem 3 Voting Precinct",17,99
"Upper Saucon 3rd District",17,550
"040 W BRANDYWINE E-1",18,823
63-25,18,159
63-10,19,295
64-17,19,138
66-27,19,199
"Franklin Borough Voting Precinct",19,80
"155 N COVENTRY W-1",20,525
"Johnstown -17th Ward 4 Voting Precinct",21,139
"MIDDLETOWN--3RD WARD, 1ST PRECINCT",21,329
63-02,22,254
66-17,22,219
"Charleroi 6 Voting Precinct",22,160
64-13,24,134
64-16,24,232
66-23,24,278
66-28,24,253
"Donora 4 Voting Precinct",24,259
"WEST HANOVER TWP--6TH PRECINCT",24,406
"Centerville 6 Voting Precinct",25,147
"Mt Pleasant 3 Voting Precinct",25,99
"Souderton 2",25,623
"Johnstown -17th Ward 3 Voting Precinct",26,209
"Salisbury 4th Ward 1st District",26,549
"West Middletown Voting Precinct",26,53
58-14,27,206
"East Greenville",27,739
"Johnstown - Nineteenth Ward Voting Precinct",27,235
58-13,28,263
63-14,28,253
"Salisbury 5th Ward 1st District",28,396
66-39,30,254
"Carroll 1 Voting Precinct",30,112
"Marianna Voting Precinct",30,100
58-10,31,267
57-18,32,272
"Red Hill",32,708
66-22,33,415
"Emmaus 3rd District",33,665
"Ehrenfeld Borough Voting Precinct",34,61
"Monongahela 3 - 1 Voting Precinct",34,145
"North Charleroi Voting Precinct",34,300
"Whitehall 5th District",34,303
39-29,35,190
"Centerville 5 Voting Precinct",35,75
"West Brownsville 1 Voting Precinct",35,106
"005 ATGLEN",37,361
58-17,37,319
"HUMMELSTOWN--1ST PRECINCT",37,517
66-10,38,254
"Cassandra Borough Voting Precinct",38,58
"Finleyville Voting Precinct",38,106
"Horsham 1-4",38,440
"Twilight Voting Precinct",38,75
"Green Lane",39,160
"Lower Moreland 4-2",39,476
"South Whitehall 1st District",40,921
66-13,41,198
"Cokeburg Voting Precinct",41,157
"LOWER PAXTON TWP--23RD PRECINCT",41,636
"RUSH EAST",41,71
39-15,42,294
66-02,42,185
"Lower Macungie 4th District",42,856
58-06,43,263
"Catasauqua 2nd District",43,493
26-13,44,210
"Jefferson #2 Voting Precinct",44,91
"Salisbury 2nd Ward",44,797
57-16,45,220
"Greensboro Borough Voting Precinct",45,88
"West Pike Run 2 Voting Precinct",45,195
45-06,46,243
63-18,46,273
66-31,46,246
"MIDDLETOWN--2ND WARD, 1ST PRECINCT",47,401
58-23,48,361
"Jefferson Borough Voting Precinct",48,105
"Lower Moreland 5",48,738
58-26,49,285
66-38,49,278
"BELLEFONTE NORTHEAST",49,407
"Jefferson #4 Voting Precinct",49,97
39-06,50,219
57-19,50,209
63-19,50,257
66-04,50,192
66-33,50,335
"Charleroi 3 Voting Precinct",50,219
"Chest Springs Borough Voting Precinct",51,70
66-40,52,195
66-21,53,416
"Charleroi 2 Voting Precinct",53,250
"Dunlevy Voting Precinct",53,132
57-22,54,226
65-23,54,276
"700 WARWICK E",54,545
"Allenport Voting Precinct",54,152
"ROYALTON BOROUGH--1ST WARD",55,111
"Stonycreek Township - Ward 2 Voting Precinct",55,141
"DERRY TOWNSHIP--7TH PRECINCT",56,593
"Gilmore Voting Precinct",56,95
"Smith 4 Voting Precinct",56,163
"Smith 5 Voting Precinct",56,159
56-22,57,191
"Loretto Borough Voting Precinct",58,126
57-01,59,255
58-16,59,279
"Cecil 8 Voting Precinct",59,515
58-37,60,283
"Ashville Borough Voting Precinct",60,99
"BELLEFONTE SOUTHEAST",60,405
"Monongahela 3 - 2 Voting Precinct",60,345
"170 S COVENTRY",61,882
26-20,61,156
66-16,61,188
"156 N COVENTRY W-2",62,703
65-10,62,414
"683 E VINCENT 4",62,538
"Clarksville Borough Voting Precinct",62,82
Coopersburg,62,762
"Gray Voting Precinct",62,77
"LOWER PAXTON TWP--24TH PRECINCT",62,532
26-15,63,225
58-22,63,256
63-16,64,226
66-35,64,284
"Dale Borough Voting Precinct",64,230
"Upper Saucon 1st District",64,1040
66-07,65,225
"North Strabane 6 Voting Precinct",66,546
"SOUTH HANOVER TWP--3RD PRECINCT",66,799
"580 THORNBURY 1",67,528
Alburtis,67,702
"Beallsville Voting Precinct",67,149
"Canonsburg 3-1 Voting Precinct",67,312
"Johnstown - Eighteenth Ward Voting Precinct",67,207
"Johnstown-20th Ward 1 Voting Precinct",67,337
"West Brownsville 2 Voting Precinct",67,184
"East Bethlehem 4 Voting Precinct",68,177
"HALFMOON PROPER",68,410
"PHILIPSBURG 3RD WARD",68,228
"Stockdale Voting Precinct",70,152
45-22,71,225
58-07,71,246
"Mt Pleasant 4 Voting Precinct",71,100
UNIONVILLE,71,111
45-24,72,343
66-26,72,309
"Ellsworth Voting Precinct",72,237
"Johnstown - Twenty-first Ward Voting Precinct",73,183
"Monongahela 2 - 3 Voting Precinct",73,225
"Roscoe Voting Precinct",73,242
"Elco Voting Precinct",74,98
"RUSH NORTH CENTRAL",74,134
58-38,75,211
"Cross Creek 1 Voting Precinct",75,162
"Freeport Voting Precinct",75,105
"PILLOW BOROUGH",75,120
"Tunnelhill Borough Voting Precinct",75,91
"Union 7 Voting Precinct",75,280
66-30,76,287
"Towamencin 2-3",76,664
"HALFMOON EAST CENTRAL",77,582
"Morgan Chart/tgrdn Voting Precinct",77,171
"Wilmore Borough Voting Precinct",77,99
"Waynesburg #2 Voting Precinct",78,236
"SWATARA TOWNSHIP--8TH PRECINCT",79,757
"041 W BRANDYWINE E-2",80,839
"Brownstown Borough Voting Precinct",80,245
"Cross Creek 2 Voting Precinct",80,155
"East Carroll Township - North Voting Precinct",80,141
58-12,81,289
58-29,81,416
"Carroll 3 Voting Precinct",81,377
"Donora 7 Voting Precinct",81,303
26-08,82,301
"East Bethlehem 1 Voting Precinct",82,180
"Centerville 2 Voting Precinct",83,285
"Chartiers 2 Voting Precinct",83,426
"Smith 7 Voting Precinct",83,168
"SOUTH HANOVER TWP--2ND PRECINCT",83,988
66-11,84,270
66-42,84,258
"Lilly Borough - First Ward Voting Precinct",85,126
"Southmont Borough No. 2 Voting Precinct",86,223
57-28,87,238
"695 WALLACE",87,1208
"Centerville 4 Voting Precinct",87,284
"LOWER PAXTON TWP--13TH PRECINCT",87,545
"MILES WEST",87,135
"Portage Borough - First Ward Voting Precinct",87,176
"Robinson 2 Voting Precinct",87,184
"ROYALTON BOROUGH--2ND WARD",87,258
"535 SADSBURY N",88,759
"Lower Pottsgrove 1",89,653
58-19,90,393
"Franconia 8",90,467
"DAUPHIN BOROUGH",91,260
"Springhill Voting Precinct",91,129
66-46,93,273
66-25,95,236
"LOWER PAXTON TWP--20TH PRECINCT",95,537
58-09,96,343
"Peters A-1 Voting Precinct",96,428
"REED TOWNSHIP",96,125
39-14,97,203
39-21,98,283
66-03,98,236
"Long Branch Voting Precinct",98,189
"Smith 1 Voting Precinct",98,265
66-44,100,291
"California 4 Voting Precinct",100,393
"PHILIPSBURG 1ST WARD",100,298
"PHILIPSBURG 2ND WARD",100,261
"Smith 6 Voting Precinct",100,220
63-03,101,376
"New Eagle 1 Voting Precinct",101,336
"RUSH TOWNSHIP",101,118
"SPRING SOUTHWEST",101,579
"North Franklin 3 Voting Precinct",102,421
"Robinson 3 Voting Precinct",102,250
"Union 4 Voting Precinct",102,155
"Rices Landing Borough Voting Precinct",103,183
45-05,104,303
"Monongahela 1w Voting Precinct",104,288
"South Strabane 1 Voting Precinct",104,488
39-41,105,282
"Whitehall 11th District",105,698
"Whitehall 8th District",105,756
"DERRY TOWNSHIP--6TH PRECINCT",106,418
"LOWER PAXTON TWP--9TH PRECINCT",106,366
"Whitehall 7th District",106,929
"215 ELK",107,515
"JEFFERSON TOWNSHIP",107,164
"Lilly Borough - Second Ward Voting Precinct",108,201
"SPRING NORTH",108,689
66-09,109,271
"Carmichaels Borough Voting Precinct",109,174
"DERRY TOWNSHIP--10TH PRECINCT",109,663
"Chartiers 1 Voting Precinct",110,200
"Daisytown Borough Voting Precinct",111,149
"Lower Moreland 4-1",111,439
"Greene Voting Precinct",112,171
"Monongahela #2 Voting Precinct",112,188
66-06,113,271
"Worcester East 3",113,712
57-17,114,298
"Chartiers 6 Voting Precinct",114,481
MILLHEIM,114,309
"PORT MATILDA",114,203
66-45,115,241
"BERRYSBURG BOROUGH",115,146
"Slatington 1st District",115,329
65-02,116,353
"Robinson 1 Voting Precinct",116,201
"California 3 Voting Precinct",118,249
"Mt Pleasant 2 Voting Precinct",118,226
"Upper Saucon 4th District",118,1626
"Slatington 2nd District",119,288
"295 HONEY BROOK BORO",120,506
45-23,120,318
"Dean Township Voting Precinct",120,171
"RUSH SOUTH",120,179
57-14,121,311
58-21,121,351
58-33,121,244
"Lower Salford 5",121,1056
"Speers Voting Precinct",121,418
"Cumberland Nemacolin Voting Precinct",122,232
"Mcdonald Voting Precinct",122,472
66-43,123,382
"Jackson Voting Precinct",123,175
"Lorain Borough Voting Precinct",123,216
"Vintondale Borough Voting Precinct",123,170
26-07,125,297
"LOWER PAXTON TWP--22ND PRECINCT",125,597
"Stonycreek Township - Ward 3 Voting Precinct",126,287
45-04,127,350
"Burgettstown Voting Precinct",128,410
"Smith 2 Voting Precinct",128,269
"Smith 3 Voting Precinct",129,233
"Summerhill Borough Voting Precinct",129,215
"Waynesburg #1 Voting Precinct",129,319
66-36,130,389
"East Bethlehem 2 Voting Precinct",130,236
"Wayne - West Voting Precinct",130,170
"WILLIAMSTOWN--1ST WARD",130,210
39-36,131,299
"LOWER PAXTON TWP--16TH PRECINCT",131,868
"Midway Voting Precinct",131,294
"Canton 1 Voting Precinct",132,426
"Johnstown - Eighth Ward No. 3 Voting Precinct",132,485
"MIDDLETOWN--3RD WARD, 2ND PRECINCT",132,391
"Fallowfield 3 Voting Precinct",133,384
45-01,134,303
"Ebensburg Borough - Center Voting Precinct",134,353
"North Strabane 7 Voting Precinct",134,668
"West Finley 1 Voting Precinct",134,172
"East Conemaugh Borough Voting Precinct",135,290
"LOWER PAXTON TWP--4TH PRECINCT",135,695
"North Strabane 8 Voting Precinct",135,690
"South Strabane 2 Voting Precinct",135,536
"Upper Saucon 2nd District",135,782
"WEST HANOVER TWP--7TH PRECINCT",135,525
58-41,137,443
"North Strabane 5 Voting Precinct",137,593
"220 ELVERSON",138,524
"Chest Township Voting Precinct",138,202
"HOWARD BORO",138,271
26-05,139,295
"West Finley 2 Voting Precinct",139,204
"WICONISCO TWP--2ND PRECINCT",139,176
"Stonycreek Township - Ward 4 Voting Precinct",141,311
"West Carroll Township - South Voting Precinct",141,244
"WILLIAMSTOWN--2ND WARD",141,196
"HALIFAX BOROUGH",142,240
"South Strabane 5 Voting Precinct",142,604
"Fallowfield 2 Voting Precinct",143,223
"Franconia 5",143,559
"Stonycreek Township - Ward 1 Voting Precinct",143,299
"Dunkard #1 Voting Precinct",144,282
"Ebensburg Borough - West Voting Precinct",144,449
"Houston Voting Precinct",144,387
"Scalp Level Borough Voting Precinct",144,243
"North Whitehall 6th District",145,632
"WICONISCO TWP--1ST PRECINCT",145,204
"CURTIN SOUTH",146,191
"Wayne - East Voting Precinct",146,220
"165 E COVENTRY 2",147,742
"Upper Yoder Township No. 3 Voting Precinct",147,396
"WEST HANOVER TWP--4TH PRECINCT",147,490
"Upper Yoder Township No. 2 Voting Precinct",149,349
"Aleppo Voting Precinct",150,196
"290 HIGHLAND",151,408
45-25,151,296
"CONEWAGO TWP--2ND PRECINCT",151,472
"North Franklin 2 Voting Precinct",151,421
BURNSIDE,152,203
"Ebensburg Borough - East Voting Precinct",153,401
"LYKENS BOROUGH--1ST WARD",154,261
"Upper Yoder Township No. 4 Voting Precinct",154,401
66-34,155,306
58-39,156,344
66-29,156,396
"705 WARWICK W",156,421
HAINES,156,418
"Morgan - Mather Voting Precinct",156,337
"Richland Township No. 8 Voting Precinct",156,337
"Franconia 3",158,715
"Lower Frederick 2",158,976
"Northern Cambria Borough - Sou Voting Precinc",158,305
"Cecil 2 Voting Precinct",159,386
"Patton Borough - Second Ward Voting Precinct",159,311
"Sankertown Borough Voting Precinct",159,238
"WEST HANOVER TWP--5TH PRECINCT",159,671
"Carroll 5 Voting Precinct",160,440
"Lynn Lynnville District",160,302
"MILES EAST",161,291
"Claysville Voting Precinct",163,258
"Middle Taylor Township Voting Precinct",163,295
"Westmont Borough No. 1 Voting Precinct",163,575
"North Strabane 9 Voting Precinct",164,568
"Independence 2 Voting Precinct",165,285
"Patton Borough - First Ward Voting Precinct",165,298
Pennsburg,165,931
"Peters C-2 Voting Precinct",165,580
26-04,166,307
66-14,166,345
"Southmont Borough No. 1 Voting Precinct",166,521
"Union 2 Voting Precinct",169,324
"Cross Creek 3 Voting Precinct",170,225
"Slatington 3rd District",170,507
"SNOW SHOE",170,277
"SPRING SOUTH",170,495
"SPRING WEST",171,363
"Union 5 Voting Precinct",171,479
"West Carroll Township - North Voting Precinct",171,242
26-01,172,303
"LOWER SWATARA TWP--4TH PRECINCT",172,499
"Upper Milford Eastern District",172,1474
"Centerville 1 Voting Precinct",173,251
"Portage Borough - Second Ward Voting Precinct",173,295
"WEST HANOVER TWP--3RD PRECINCT",173,608
"Adams Township - Dunlo Voting Precinct",174,298
"New Hanover 3",174,1409
"FERGUSON WEST",175,659
63-17,179,293
26-06,180,370
26-09,180,355
"North Strabane 4 Voting Precinct",181,503
"Cecil 4 Voting Precinct",182,600
"Geistown Borough No. 1 Voting Precinct",184,382
"Franconia 4",185,582
"Franklin West Voting Precinct",185,254
"Richland Township No. 9 Voting Precinct",185,415
"Blaine Voting Precinct",186,259
"West Pike Run 1 Voting Precinct",186,375
"Union 6 Voting Precinct",187,345
"Waynesburg #3 Voting Precinct",187,312
"Whiteley Voting Precinct",187,266
"SNOW SHOE WEST",188,251
"Peters A-2 Voting Precinct",190,616
"GRATZ BOROUGH",191,254
"New Eagle 2 Voting Precinct",192,351
45-20,194,364
65-07,195,498
"Franklin South Voting Precinct",195,266
26-03,197,322
"South Fork Borough Voting Precinct",197,309
65-01,199,417
"Cambria Township - Revloc Voting Precinct",202,327
"Chartiers 5 Voting Precinct",202,364
"Jefferson #3 Voting Precinct",202,384
"Morris Voting Precinct",202,279
"Whitehall 10th District",202,903
"Canonsburg 1-4 Voting Precinct",203,709
"Jefferson Voting Precinct",205,425
"Portage Borough - Third Ward Voting Precinct",207,303
"335 LONDONDERRY",209,852
"Limerick 5",210,1117
"Susquehanna Township - South Voting Precinct",210,308
"Richland Township No. 6 Voting Precinct",211,475
"Lower Yoder Township No.1 Voting Precinct",213,471
"Washington Western District",214,421
"Adams Township - St. Michael Voting Precinct",215,416
"Peters C-3 Voting Precinct",215,694
58-04,217,412
"Franconia 6",217,661
57-13,218,416
"WEST HANOVER TWP--2ND PRECINCT",218,541
"LOWER PAXTON TWP--3RD PRECINCT",219,798
"Peters D-3 Voting Precinct",219,546
"East Taylor Township No. 2 Voting Precinct",220,352
"MIFFLIN TOWNSHIP",220,265
"Deemston Voting Precinct",221,342
"Ferndale Borough Voting Precinct",221,490
"LYKENS BOROUGH--2ND WARD",221,351
"HUMMELSTOWN--2ND PRECINCT",226,896
"MIDDLE PAXTON TWP--2ND PRECINCT",227,628
"West Taylor Township Voting Precinct",227,323
"Monongahela #1 Voting Precinct",228,340
"Cumberland #2 Voting Precinct",229,384
"Upper Hanover 1",230,1550
PENN,231,397
"Chartiers 3 Voting Precinct",232,721
"North Whitehall 3rd District",232,686
"Peters D-2 Voting Precinct",232,788
"Carroll 2 Voting Precinct",236,469
"Richhill Voting Precinct",237,324
"Upper Hanover 2",237,613
"043 W BRANDYWINE W",238,804
"RUSH WEST",238,342
WORTH,239,355
"Richland Township No. 4 Voting Precinct",240,496
"Cecil 7 Voting Precinct",241,569
"Douglass 2",241,712
"Peters C-1 Voting Precinct",242,675
"Franconia 1",243,537
"Peters A-3 Voting Precinct",243,856
"Union 1 Voting Precinct",245,604
"Washington Township Voting Precinct",246,376
45-03,247,479
"Cecil 1 Voting Precinct",249,527
"Douglass 4",250,812
"Cresson Township - South Voting Precinct",251,433
"Lower Yoder Township No. 2 Voting Precinct",251,503
MILESBURG,251,424
"Hastings Borough Voting Precinct",252,429
"Upper Salford",252,1142
"Elder Township Voting Precinct",253,373
"LOWER SWATARA TWP--2ND PRECINCT",253,640
"Nanty Glo Borough - Second War Voting Precinc",253,471
"Cecil 3 Voting Precinct",254,661
"Jefferson #1 Voting Precinct",254,431
58-35,255,474
"Hanover 2 Voting Precinct",255,449
"Morgan - Lippencott Voting Precinct",255,366
"SOUTH HANOVER TWP--1ST PRECINCT",257,597
"CENTRE HALL",259,515
"Fallowfield 1 Voting Precinct",259,604
"Franklin North Voting Precinct",259,467
"South Strabane 3 Voting Precinct",261,612
"Jackson Township No. 1 Voting Precinct",263,376
"Upper Frederick",263,1188
"Carrolltown Borough Voting Precinct",264,458
"Nanty Glo Borough - First Ward Voting Precinc",264,396
"Westmont Borough No. 2 Voting Precinct",264,732
"Lynn Jacksonville District",265,447
"North Strabane 1 Voting Precinct",266,614
"Nottingham 2 Voting Precinct",266,569
"South Strabane 4 Voting Precinct",268,641
"White Township Voting Precinct",268,393
"Peters B-1 Voting Precinct",270,685
MARION,271,423
"Bentleyville Voting Precinct",273,716
"LONDONDERRY TWP--3RD PRECINCT",274,457
"Fallowfield 4 Voting Precinct",276,476
"Cresson Borough Voting Precinct",277,509
"Hopewell Voting Precinct",279,401
"Carroll 4 Voting Precinct",281,664
"Westmont Borough No. 3 Voting Precinct",281,726
"HOWARD TWP",285,419
"North Whitehall 4th District",285,910
"Canton 4 Voting Precinct",289,587
"430 LOWER OXFORD W",292,705
"Adams Township- - Gramlingtown Voting Precinc",292,411
"North Strabane 3 Voting Precinct",292,631
"Richland Township No. 5 Voting Precinct",293,507
"West Bethlehem Voting Precinct",293,514
"ELIZABETHVILLE BOROUGH",294,444
"Washington Voting Precinct",298,448
"Cresson Township - North Voting Precinct",299,526
"Somerset 1 Voting Precinct",299,529
"North Strabane 2 Voting Precinct",301,950
"Richland Township No. 3 Voting Precinct",301,466
"BENNER SOUTH",303,956
"Conemaugh Township - Cover Hil Voting Precinc",303,425
"North Bethlehem Voting Precinct",306,606
"Independence 1 Voting Precinct",307,395
"Washington Eastern District",308,513
26-02,311,491
"WILLIAMS TWP",311,413
"380 W NANTMEAL",312,821
"North Franklin 1 Voting Precinct",314,758
"Munster Township Voting Precinct",317,377
"Northern Cambria Borough - Nor Voting Precinc",318,492
"435 UPPER OXFORD",320,831
"Upper Hanover 3",320,707
"Somerset 2 Voting Precinct",322,570
"South Strabane 6 Voting Precinct",322,648
"Richland Township No. 2 Voting Precinct",323,658
TAYLOR,323,423
"Summerhill Township - South Voting Precinct",324,468
"Canton 2 Voting Precinct",326,804
"Cecil 5 Voting Precinct",329,888
"New Hanover 2",329,1299
"Richland Township No. 1 Voting Precinct",329,581
"POTTER SOUTH",330,858
"SPRING EAST",333,662
"Northern Cambria Borough - Cen Voting Precinc",334,477
"North Whitehall 5th District",335,876
"LYKENS TOWNSHIP",336,423
"SNOW SHOE EAST",338,493
"Conemaugh Township - Center Voting Precinct",339,492
"South Franklin 1 Voting Precinct",341,508
"406 EAST NOTTINGHAM WEST",343,1240
"Croyle Township - No. 2 Voting Precinct",346,520
"North Whitehall 1st District",346,1308
"POTTER NORTH",346,627
"Croyle Township No. 1 Voting Precinct",347,502
"Donegal 1 Voting Precinct",347,482
"Geistown Borough No. 2 Voting Precinct",347,607
"Chartiers 7 Voting Precinct",354,871
HUSTON,356,574
"Center Voting Precinct",358,502
"235 W FALLOWFIELD",359,774
"Cambria Township No. 1 Voting Precinct",359,689
"Perry Voting Precinct",359,592
"New Hanover 1",360,1460
"Gallitzin Borough Voting Precinct",364,562
"LOWER SWATARA TWP--1ST PRECINCT",365,949
"MIDDLE PAXTON TWP--1ST PRECINCT",365,689
"545 W SADSBURY",366,758
"BOGGS EAST",366,502
"Canton 5 Voting Precinct",369,758
"Cambria Township - Colver Voting Precinct",370,535
"Hanover 1 Voting Precinct",370,587
"CONEWAGO TWP--1ST PRECINCT",373,671
"Dunkard #2 Voting Precinct",373,495
Lowhill,376,920
"Summerhill Township - North Voting Precinct",379,516
"BENNER NORTH",383,828
"060 W CALN 1",384,1336
"Douglass 3",384,1214
"Cambria Township No. 4 Voting Precinct",385,618
"Cecil 6 Voting Precinct",391,1233
"Richland Township No. 7 Voting Precinct",393,656
"Susquehanna Township - North Voting Precinct",394,511
"Upper Yoder Township No. 1 Voting Precinct",396,703
"Cumberland #4 Voting Precinct",399,763
"Nottingham 1 Voting Precinct",399,742
"North Whitehall 2nd District",403,1244
"LONDONDERRY TWP--1ST PRECINCT",407,722
"Portage Township - Southwest Voting Precinct",407,705
"WAYNE TOWNSHIP",419,622
"Donegal 2 Voting Precinct",421,540
"300 HONEYBROOK TWP 1",429,920
"Adams Township No. 1 Voting Precinct",430,676
Salford,432,1185
"Reade Township Voting Precinct",433,566
"East Finley Voting Precinct",434,531
Marlborough,440,1289
"405 EAST NOTTINGHAM EAST",442,1488
"East Carroll Township - South Voting Precinct",443,589
"Portage Township Center Voting Precinct",443,676
"Upper Milford Western District",444,1367
"Gallitzin Township Voting Precinct",452,587
"Lynn New Tripoli District",457,982
"RUSH NORTH",464,797
"Douglass 1",465,903
"Mt Pleasant 1 Voting Precinct",471,931
"LONDONDERRY TWP--2ND PRECINCT",474,784
"Adams Township - Elton Voting Precinct",476,714
GREGG,483,900
"Peters B-2 Voting Precinct",485,1050
"410 W NOTTINGHAM",487,886
LIBERTY,487,711
"WALKER WEST",490,1182
"301 HONEYBROOK TWP 2",495,1413
"BOGGS WEST",497,706
"Franklin East Voting Precinct",497,890
"East Taylor Township - No. 1 Voting Precinct",498,715
"HALIFAX TWP--1ST PRECINCT",503,718
"WEST HANOVER TWP--1ST PRECINCT",504,767
"MILLERSBURG BOROUGH",510,850
"South Franklin 2 Voting Precinct",516,785
"UPPER PAXTON TWP--2ND PRECINCT",517,678
"Clearfield Township Voting Precinct",519,734
"WALKER EAST",519,759
"Peters B-3 Voting Precinct",523,1102
"Jackson Township - Vinco Voting Precinct",524,758
"Cumberland #1 Voting Precinct",529,870
"MIDDLE PAXTON TWP--3RD PRECINCT",531,837
"HALIFAX TWP--2ND PRECINCT",532,747
"Blacklick Township Voting Precinct",533,794
"Amwell 2 Voting Precinct",548,732
UNION,555,723
"JACKSON TOWNSHIP",556,834
"WASHINGTON TOWNSHIP",556,828
"Amwell 1 Voting Precinct",563,851
"EAST HANOVER TOWNSHIP--1ST PRECINCT",571,1204
"Jackson Township No.3 Voting Precinct",574,771
"UPPER PAXTON TWP--1ST PRECINCT",574,865
"061 W CALN 2",580,1606
"Allegheny Township Voting Precinct",582,792
"Buffalo Voting Precinct",587,865
"Lower Milford",607,1540
"Peters D-1 Voting Precinct",618,1247
"EAST HANOVER TOWNSHIP--2ND PRECINCT",708,1118
Heidelberg,722,1324
"Washington Southern District",818,1617
"Barr Township Voting Precinct",823,1023
Weisenberg,953,2062
